"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"ws-18",135280.703502511,128646.040239997,123201.126905656,118366.515353747,108477.232680887,102966.829336769,90456.7807256045,87967.4097329565,79943.5467433885,70260.8559293063,64813.9147147079,42331.2925683746,38418.0964403222,77953.8497669155,85153.8234998863,57024.3221917155,95142.8310721878,93794.4957389169,64613.9767674682,70360.8249029262,42714.0266106047,104456.4861858,57107.1249056675,46417.6511103284,17779.9180958555,17928.3328566743,18576.7145226811,0,1082.73652432911,1689.71683336057,3038.05216663129,4244.99276188846,8845.40706947564,9193.80859236925,9842.19025837658,28139.2659265058,29387.6078787395,17879.9114768933,10414.5939738939,28114.3364567641,18725.1292834993,18656.3666151569,10497.5919471879,135935.934339398,26356.5757349126,27170.5140139883,29007.9756431505,2565.44657280974,3065.41347799837,4089.55797826585,5255.09721654692,5606.64936091727,6386.25512065642,7476.01166779075,8248.59740472549,9238.36057082198,28344.8351516827,37804.2425529933,28200.2897921922,73517.3571887721,95067.9493909214,80547.0835419298,87771.390001881,10190.5917812702,27872.2295578605,39116.7589923891,101664.361917935,87567.8023200732,54347.7024026689,18942.3067126605,56518.7579144282,64022.8496734375,47843.5444540376,72846.202392578,93630.1460540567,93630.1460540567,93971.4787393108,94154.2992417183,96209.6082650576,91433.4422927037,102966.829336769,82777.0533300766,84371.3649635792,98298.2495169715,12386.9294313563,85110.0126441253,85192.8153580772,28569.7513834998,67653.5666014215,47558.3231363855,48455.0397219953,17728.3460945989,43051.6009668837,75040.0016712121,93630.1460540567,102001.276860563,118325.089589353,91887.8455505737,135280.703502511
"ws-25B",136363.44002684,129728.776764327,124283.863429985,119449.251878076,109559.969205217,104049.565861098,91539.5172499336,89050.1462572856,81026.2832677176,71343.5924536354,65896.651239037,43414.0290927037,39500.8329646513,79036.5862912446,86236.5600242154,58107.0587160446,96225.5675965169,94877.232263246,65696.7132917973,71443.5614272553,43796.7631349337,105539.222710129,58189.8614299966,47500.3876346575,18862.6546201846,19011.0693810035,19659.4510470102,1082.73652432911,0,1065.4238201548,2120.92107020618,3327.86166546328,7928.27597305046,8276.67749594407,8925.0591619515,27222.1348300806,28470.4767823143,18962.6480012224,10200.2742771953,27197.2053603389,19807.8658078284,19739.103139486,9931.86655062614,137018.670863727,25439.4446384874,26253.3829175631,28090.8445467254,1648.31547638456,2148.28238157319,3172.42688184067,4337.96612012173,4689.51826449209,5469.12402423124,6558.88057136557,7331.4663083003,8321.22947439679,27427.7040552575,38886.9790773224,27283.158695767,72600.2260923469,94150.8182944963,81629.8200662589,88854.1265262101,9390.59591813298,26955.0984614353,38199.6278959639,100747.230821509,88650.5388444023,53430.5713062437,20025.0432369896,55601.626818003,63105.7185770123,46926.4133576124,71929.0712961528,94712.8825783858,94712.8825783858,95054.2152636399,95237.0357660475,97292.3447893868,92516.1788170328,104049.565861098,81859.9222336514,83454.233867154,97381.1184205464,12172.6097346576,84192.8815477001,84275.684261652,27652.6202870747,66736.4355049963,46641.1920399603,47537.9086255701,18811.082618928,42134.4698704585,76122.7381955412,94712.8825783858,103084.013384892,119407.826113683,92970.5820749028,136363.44002684
"ws-16",136390.801338206,129756.138075693,124311.224741352,119476.613189443,109587.330516583,104076.927172464,91566.8785613,89077.507568652,81053.644579084,71370.9537650018,65924.0125504034,43441.3904040701,39528.1942760177,79063.947602611,86263.9213355818,58134.420027411,96252.9289078833,94904.5935746124,65724.0746031637,71470.9227386217,43824.1244463002,105566.584021495,58217.222741363,47527.7489460239,18890.0159315511,19038.4306923699,19686.8123583767,1689.71683336057,1065.4238201548,0,1348.33533327072,2555.27592852789,7155.69023611507,7504.09175900868,8152.47342501601,26449.5490931452,27697.8910453789,18990.0093125888,9134.85045704051,26424.6196234035,19835.2271191948,19766.4644508524,8866.44273047134,137046.032175093,24666.8589015521,25480.7971806277,27318.25880979,1124.13788130505,1624.10478649368,2399.84114490531,3565.38038318634,4082.53795546062,4696.53828729585,5786.29483443018,6558.88057136491,7548.6437374614,26655.1183183221,38914.3403886888,26510.5729588316,71827.6403554115,93378.2325575608,81657.1813776253,88881.4878375765,8500.87494790972,26182.5127244999,37427.0421590286,99974.645084574,88677.9001557687,52657.9855693084,20052.404548356,54829.0410810677,62333.132840077,46153.827620677,71156.4855592174,94740.2438897522,94740.2438897522,95081.5765750063,95264.3970774138,97319.7061007531,92543.5401283992,104076.927172464,81087.336496716,82681.6481302186,96608.5326836109,11107.1859145028,83420.2958107647,83503.0985247166,26880.0345501393,65963.8497680609,45868.6063030249,46765.3228886347,18838.4439302944,41361.8841335232,76150.0995069076,94740.2438897522,103111.374696259,119435.187425049,92997.9433862692,136390.801338206
"ws-14",137242.320387765,130607.657125252,125162.743790911,120328.132239002,110438.849566142,104928.446222023,92418.397610859,89929.026618211,81905.163628643,72222.4728145608,66775.5315999624,44292.909453629,40379.7133255766,79915.46665217,87115.4403851408,58985.93907697,97104.4479574423,95756.1126241714,66575.5936527227,72322.4417881807,44675.6434958591,106418.103071054,59068.7417909219,48379.2679955829,19741.53498111,19889.9497419288,20538.3314079356,3038.05216663129,2120.92107020618,1348.33533327072,0,1206.94059525716,5807.35490284435,6155.75642573796,6804.13809174532,25101.2137598745,26349.5557121082,19841.5283621477,8079.35320698914,25076.2842901328,20686.7461687538,20617.9835004114,7810.94548041996,137897.551224652,23318.5235682813,24132.461847357,25969.9234765192,941.146526972614,1065.42382015414,1548.32209534632,2382.65047781954,3231.01890590167,3348.20295402513,4437.95950115946,5210.54523809419,6200.30840419068,25306.7829850514,39765.8594382478,25162.2376255609,70479.3050221407,92029.8972242901,82508.7004271842,89733.0068871354,7269.6748479268,24834.1773912292,36078.7068257579,98626.3097513032,89529.4192053276,51309.6502360377,20903.923597915,53480.705747797,60984.7975068063,44805.4922874063,69808.1502259467,95591.7629393111,95591.7629393111,95933.0956245652,96115.9161269728,98171.2251503121,93395.0591779581,104928.446222023,79739.0011634453,81333.3127969479,95260.1973503402,10051.6886644515,82071.9604774939,82154.7631914459,25531.6992168686,64615.5144347902,44520.2709697542,45416.987555364,19689.9629798534,40013.5488002525,77001.6185564665,95591.7629393111,103962.893745818,120286.706474608,93849.4624358281,137242.320387765
"ws-12A",138035.247413262,131400.584150749,125955.670816408,121121.059264499,111231.776591639,105721.373247521,93211.3246363564,90721.9536437084,82698.0906541404,73015.3998400582,67568.4586254598,45085.8364791264,41172.640351074,80708.3936776673,87908.3674106382,59778.8661024673,97897.3749829397,96549.0396496688,67368.52067822,73115.368813678,45468.5705213564,107211.030096551,59861.6688164193,49172.1950210802,20534.4620066074,20682.8767674262,21331.258433433,4244.99276188846,3327.86166546328,2555.27592852789,1206.94059525716,0,4600.41430758718,4948.81583048089,5714.33272977603,23894.2731646174,25142.615116851,20634.4553876451,7165.25069495138,23869.3436948756,21479.6731942511,21410.9105259087,6896.84296838221,138690.478250149,22111.5829730242,22925.5212520998,24762.9828812621,1855.24903901037,1648.12021704115,1223.93600300003,1589.72345232219,2438.09188040431,2141.26235876796,3231.01890590229,4003.60464283703,4993.36780893352,24099.8423897942,40558.7864637452,23955.2970303038,69272.3644268836,90822.9566290329,83301.6274526815,90525.9339126327,6355.57233588905,23627.236795972,34871.7662305007,97419.3691560461,90322.346230825,50102.7096407805,21696.8506234123,52273.7651525398,59777.8569115491,43598.5516921492,68601.2096306896,96384.6899648085,96384.6899648085,96726.0226500626,96908.8431524701,98964.1521758094,94187.9862034555,105721.373247521,78532.0605681881,80126.3722016907,94053.256755083,9137.58615241371,80865.0198822367,80947.8225961887,24324.7586216114,63408.5738395331,43313.3303744971,44210.0469601069,20482.8900053507,38806.6082049953,77794.5455819639,96384.6899648085,104755.820771315,121079.633500105,94642.3894613255,138035.247413262
"ws-6",140648.396586,134013.733323487,128568.819989146,123734.208437236,113844.925764377,108334.522420258,95824.4738090938,93335.1028164458,85311.2398268778,75628.5490127956,70181.6077981972,47698.9856518638,43785.7895238114,83321.5428504048,90521.5165833756,62392.0152752047,100510.524155677,99162.1888224063,69981.6698509575,75728.5179864155,48081.7196940939,109824.179269289,62474.8179891567,51785.3441938176,23147.6111793448,23296.0259401636,23944.4076061704,8845.40706947564,7928.27597305046,7155.69023611507,5807.35490284435,4600.41430758718,0,641.239606113024,1406.75650540815,19293.8588570302,20542.2008092638,23247.6045603826,2940.52599937147,19268.9293872884,24092.8223669886,24024.0596986462,2589.26674401434,141303.627422887,17511.168665437,18325.1069445127,20162.5685736749,6279.96049666593,5955.69644140902,5282.95764100484,4468.82410258703,4820.08335794323,3337.66619847746,2306.47726798701,1241.05344783286,806.967071106144,19499.428082207,43171.9356364827,19354.8827227166,64671.9501192965,86222.5423214457,85914.7766254189,93139.0830853701,2047.99611152118,19026.8224883848,30271.3519229136,92818.9548484588,92935.4954035624,45502.2953331934,24309.9997961498,47673.3508449527,55177.442603962,38998.1373845621,64000.7953231025,98997.8391375459,98997.8391375459,99339.1718228,99521.9923252075,101577.301348547,96801.1353761929,108334.522420258,73931.6462606009,75525.9578941035,89452.8424474958,4830.00992804584,76264.6055746495,76347.4082886015,19724.3443140242,58808.159531946,38712.91606691,39609.6326525198,23096.0391780882,34206.1938974082,80407.6947547013,98997.8391375459,107368.969944052,123692.782672843,97255.5386340629,140648.396586
"ws-4",140996.798108894,134362.13484638,128917.221512039,124082.60996013,114193.32728727,108682.923943152,96172.8753319875,93683.5043393395,85659.6413497715,75976.9505356893,70530.0093210909,48047.3871747574,44134.191046705,83669.9443732984,90869.9181062693,62740.4167980983,100858.925678571,99510.5903452999,70330.0713738511,76076.9195093091,48430.1212169875,110172.580792183,62823.2195120503,52133.7457167113,23496.0127022384,23644.4274630573,24292.809129064,9193.80859236925,8276.67749594407,7504.09175900868,6155.75642573796,4948.81583048089,641.239606113024,0,765.516899295131,18945.4573341366,20193.7992863702,23596.0060832762,2382.13792204586,18920.5278643948,24441.2238898822,24372.4612215398,1948.02713790131,141652.02894578,17162.7671425434,17976.7054216191,19814.1670507813,6804.06486949126,6596.93604752204,5924.19724711786,5110.06370870006,5461.32296405626,3978.90580459048,2947.71687410003,1882.29305394589,1306.78753178763,19151.0265593134,43520.3371593763,19006.481199823,64323.5485964029,85874.140798552,86263.1781483125,93487.4846082637,1406.75650540815,18678.4209654912,29922.95040002,92470.5533255652,93283.896926456,45153.8938102999,24658.4013190434,47324.9493220592,54829.0410810684,38649.7358616685,63652.3938002089,99346.2406604395,99346.2406604395,99687.5733456936,99870.3938481011,101925.70287144,97149.5368990865,108682.923943152,73583.2447377073,75177.5563712099,89104.4409246021,4188.77032193281,75916.2040517559,75999.0067657078,19375.9427911306,58459.7580090524,38364.5145440164,39261.2311296262,23444.4407009818,33857.7923745146,80756.0962775949,99346.2406604395,107717.371466946,124041.184195736,97603.9401569565,140996.798108893
"ws-PVTSS",141645.179774901,135010.516512388,129565.603178047,124730.991626137,114841.708953278,109331.305609159,96821.2569979948,94331.8860053468,86308.0230157788,76625.3322016966,71178.3909870982,48695.7688407647,44782.5727127123,84318.3260393058,91518.2997722766,63388.7984641057,101507.307344578,100158.972011307,70978.4530398585,76725.3011753165,49078.5028829948,110820.96245819,63471.6011780576,52782.1273827186,24144.3943682458,24292.8091290646,24941.1907950714,9842.19025837658,8925.0591619515,8152.47342501601,6804.13809174532,5714.33272977603,1406.75650540815,765.516899295131,0,18297.0756681292,19545.4176203629,24244.3877492835,1948.02713790131,18272.1461983875,25089.6055558895,25020.8428875471,1182.51023860618,142300.410611788,16514.385476536,17328.3237556117,19165.7853847739,7569.58176878639,7362.45294681717,6689.71414641299,5875.58060799519,6226.83986335139,4744.42270388561,3713.23377339516,2647.80995324102,1740.89831593218,18502.6448933061,44168.7188253836,18358.0995338156,63675.1669303956,85225.7591325447,86911.5598143199,94135.8662742711,641.239606113024,18030.0392994839,29274.5687340127,91822.1716595578,93932.2785924633,44505.5121442925,25306.7829850508,46676.5676560518,54180.6594150611,38001.3541956612,63004.0121342016,99994.6223264468,99994.6223264468,100335.955011701,100518.775514108,102574.084537448,97797.9185650938,109331.305609159,72934.8630717,74529.1747052025,88456.0592585948,3423.25342263768,75267.8223857485,75350.6250997005,18727.5611251233,57811.3763430451,37716.1328780091,38612.8494636189,24092.8223669891,33209.4107085073,81404.4779436023,99994.6223264468,108365.753132953,124689.565861744,98252.3218229638,141645.179774901
"ws-DL9",159942.25544303,153307.592180517,147862.678846176,143028.067294267,133138.784621407,127628.381277288,115118.332666124,112628.961673476,104605.098683908,94922.4078698261,89475.4666552277,66992.8445088939,63079.6483808414,102615.401707435,109815.375440406,81685.8741322351,119804.383012708,118456.047679437,89275.5287079879,95022.3768434459,67375.578551124,129118.038126319,81768.676846187,71079.2030508478,42441.4700363749,42589.8847971937,43238.2664632005,28139.2659265058,27222.1348300806,26449.5490931452,25101.2137598745,23894.2731646174,19293.8588570302,18945.4573341366,18297.0756681292,0,1248.34195223365,42541.4634174125,18193.2128857631,3737.54209295617,43386.6812240185,43317.9185556761,17641.673979318,160597.486279917,1782.69019159319,1913.91428532624,1531.13142826041,25573.8193536961,25073.8524485074,24049.70794824,22884.1687099589,22532.6165655885,21753.0108058494,20663.2542587151,19890.6685217803,18900.9053556838,6292.57394730616,62465.7944935126,4944.36065112468,50677.4649551957,72228.0571573447,105208.635482449,112432.941942401,17948.6741452356,7150.86894549174,16276.8667588129,78824.469684358,112229.354260593,26788.0554738272,43603.8586531798,33016.4439692364,41182.9574398613,25003.6522204615,50006.3101590017,118291.697994576,118291.697994576,118633.03067983,118815.851182238,120871.160205577,116094.994233223,127628.381277288,59937.1610965,61531.4727300026,75458.3572833949,16630.850744808,56970.7467176195,57053.5494315714,2637.88338313767,39514.3006749162,24718.4309028094,25615.1474884192,42389.8980351182,20211.7087333076,99701.5536117317,118291.697994576,126662.828801083,142986.641529873,116549.397491093,159942.25544303
"ws-DL7",161190.597395264,154555.934132751,149111.02079841,144276.409246501,134387.126573641,128876.723229522,116366.674618358,113877.30362571,105853.440636142,96170.7498220597,90723.8086074613,68241.1864611276,64327.9903330751,103863.743659669,111063.71739264,82934.2160844687,121052.724964941,119704.38963167,90523.8706602216,96270.7187956796,68623.9205033577,130366.380078553,83017.0187984207,72327.5450030815,43689.8119886086,43838.2267494274,44486.6084154341,29387.6078787395,28470.4767823143,27697.8910453789,26349.5557121082,25142.615116851,20542.2008092638,20193.7992863702,19545.4176203629,1248.34195223365,0,43789.8053696462,19441.5548379968,3923.09829073766,44635.0231762522,44566.2605079098,18890.0159315516,161845.828232151,3031.03214382684,2665.43995384681,1482.41715946643,26822.1613059297,26322.1944007411,25298.0499004736,24132.5106621926,23780.9585178222,23001.3527580831,21911.5962109487,21139.010474014,20149.2473079175,6478.13014508764,63714.1364457462,5129.91684890617,49925.9392866751,71476.5314888242,106456.977434683,113681.283894634,19197.0160974693,7336.42514327323,15525.3410902924,78072.9440158374,113477.696212826,26036.5298053066,44852.2006054134,32264.9183007159,40431.4317713407,24252.1265519409,49254.7844904811,119540.03994681,119540.03994681,119881.372632064,120064.193134472,122119.502157811,117343.336185457,128876.723229522,59185.6354279794,60779.947061482,74706.8316148743,17879.1926970417,55722.4047653859,55805.2074793378,2823.43958091916,38265.9587226825,23966.9052342888,24863.6218198986,43638.2399873518,19460.183064787,100949.895563965,119540.03994681,127911.170753316,144234.983482107,117797.739443327,161190.597395264
"ws-55",117400.792025617,110766.128763104,105321.215428763,100486.603876854,90597.3212039942,85086.9178598754,72576.8692487112,70087.4982560632,62063.6352664953,52380.9444524132,46934.0032378149,24451.3810914814,20538.184963429,60073.9382900223,67273.912022993,39144.4107148225,77262.9195952945,75914.5842620237,46734.0652905751,52480.9134260331,24834.1151337115,86576.5747089064,39227.2134287744,28537.7396334353,1041.11550059248,1682.35510670616,2282.16894842534,17879.9114768933,18962.6480012224,18990.0093125888,19841.5283621477,20634.4553876451,23247.6045603826,23596.0060832762,24244.3877492835,42541.4634174125,43789.8053696462,0,24348.2505316496,42516.5339476709,2840.55702575068,3723.16034349793,24899.7894380947,118056.022862504,40758.7732258195,41572.7115048951,43410.1731340574,20114.1471938938,20614.1140990825,21389.8504574941,22224.1788399673,23072.5472680494,22692.9150324611,23203.0525819304,23230.4138932974,23640.558061729,42747.0326425895,19924.3310761002,42602.487283099,87919.5546796791,109470.146881828,62667.1720650363,69891.4785249875,24592.7892721771,42274.4270487673,53518.956483296,116066.559408841,69687.8908431798,68749.8998935759,2764.89637169248,70920.9554053352,78425.0471643446,62245.7419449446,87248.3998834851,75750.2345771632,75750.2345771632,76091.5672624173,76274.3877648249,78329.6967881642,73553.5308158102,85086.9178598754,97179.2508209835,98773.5624544861,112700.447007878,26086.3155225364,99512.2101350321,99595.0128489841,42971.9488744067,82055.7640923286,61960.5206272925,62857.2372129022,1765.20663549385,57453.7984577907,57160.0901943188,75750.2345771632,84121.3653836697,100445.17811246,74007.9340736802,117400.792025617
"ws-2C",141749.042557267,135114.379294754,129669.465960413,124834.854408504,114945.571735644,109435.168391525,96925.1197803609,94435.7487877129,86411.8857981449,76729.1949840627,71282.2537694643,48799.6316231308,44886.4354950784,84422.1888216719,91622.1625546427,63492.6612464718,101611.170126944,100262.834793673,71082.3158222246,76829.1639576826,49182.3656653609,110924.825240556,63575.4639604237,52885.9901650847,24248.2571506119,24396.6719114307,25045.0535774375,10414.5939738939,10200.2742771953,9134.85045704051,8079.35320698914,7165.25069495138,2940.52599937147,2382.13792204586,1948.02713790131,18193.2128857631,19441.5548379968,24348.2505316496,0,18168.2834160214,25193.4683382556,25124.7056699132,1048.35519015824,142404.273394154,16410.5226941699,17224.4609732456,19061.9226024079,9020.49973396175,8813.37091199253,8140.63211158835,7326.49857317054,7677.75782852674,6195.34066906097,5164.15173857052,4098.72791841719,3688.92545383349,18398.7821109402,44272.5816077496,18254.2367514495,64482.1340015024,86032.7262036514,87015.422596686,94239.7290566372,1389.63906057598,18671.4009426868,30081.5358051195,92629.1387306646,94036.1413748295,44401.6493619265,25410.6457674168,46821.1130155431,54987.6264861679,38808.321266768,63810.9792053084,100098.485108813,100098.485108813,100439.817794067,100622.638296475,102677.947319814,97901.78134746,109435.168391525,73741.8301428068,75336.1417763093,89263.0263297015,1972.33545746232,75163.9596033824,75246.7623173344,18623.6983427572,57707.5135606791,38523.0999491159,39419.8165347257,24196.6851493552,34016.3777796141,81508.3407259684,100098.485108813,108469.615915319,124793.42864411,98356.18460533,141749.042557267
"ws-TRAWL",159917.325973289,153282.662710775,147837.749376434,143003.137824525,133113.855151665,127603.451807547,115093.403196382,112604.032203734,104580.169214166,94897.4784000843,89450.5371854859,66967.9150391522,63054.7189110997,102590.472237693,109790.445970664,81660.9446624933,119779.453542966,118431.118209695,89250.5992382462,94997.4473737042,67350.6490813822,129093.108656578,81743.7473764453,71054.2735811061,42416.5405666332,42564.9553274519,43213.3369934587,28114.3364567641,27197.2053603389,26424.6196234035,25076.2842901328,23869.3436948756,19268.9293872884,18920.5278643948,18272.1461983875,3737.54209295617,3923.09829073766,42516.5339476709,18168.2834160214,0,43361.7517542768,43292.9890859345,17616.7445095762,160572.556810175,4241.8421404117,5358.61829506303,2440.68113127122,25548.8898839543,25048.9229787657,24024.7784784982,22859.2392402171,22507.6870958468,21728.0813361076,20638.3247889733,19865.7390520386,18875.9758859421,2555.03185434999,62440.865023771,1206.81855816851,48052.7075784735,69603.2997806225,105183.706012707,112408.012472659,17923.7446754939,3413.32685253557,13652.1093820906,76199.7123076357,112204.424790851,26233.3659459052,43578.9291834381,30391.6865925141,38558.200063139,22378.8948437391,47381.5527822794,118266.768524834,118266.768524834,118608.101210088,118790.921712496,120846.230735835,116070.064763481,127603.451807547,57312.4037197778,58906.7153532804,72833.5999066726,16605.9212750663,56995.6761873612,57078.4789013132,1099.6587098185,39539.2301446579,22093.673526087,22990.3901116968,42364.9685653765,17586.9513565853,99676.6241419898,118266.768524834,126637.899331341,142961.712060131,116524.468021351,159917.325973288
"ws-F42",118460.036639908,111825.373377395,106380.460043053,101545.848491144,91656.5658182846,86146.1624741658,73636.1138630016,71146.7428703536,63122.8798807857,53440.1890667036,47993.2478521053,25510.6257057718,21597.4295777194,61133.1829043127,68333.1566372834,40203.6553291129,78322.1642095849,76973.8288763141,47793.3099048655,53540.1580403235,25893.3597480019,87635.8193231968,40286.4580430648,29596.9842477257,1882.29305394589,1323.90497661989,641.239606113024,18725.1292834993,19807.8658078284,19835.2271191948,20686.7461687538,21479.6731942511,24092.8223669886,24441.2238898822,25089.6055558895,43386.6812240185,44635.0231762522,2840.55702575068,25193.4683382556,43361.7517542768,0,965.45484653494,25745.0072447008,119115.267476795,41603.9910324254,42417.9293115011,44255.3909406633,20959.3650004999,21459.3319056885,22235.0682641001,23069.3966465733,23917.7650746554,23538.1328390671,24048.2703885364,24075.6316999035,24485.775868335,43592.2504491955,20983.5756903906,43447.705089705,88764.7724862852,110315.364688434,63726.4166793266,70950.723139278,25438.0070787832,43119.6448553733,54364.174289902,116911.777215448,70747.1354574702,69595.1177001819,382.78285706514,71766.1732119412,79270.2649709507,63090.9597515505,88093.6176900912,76809.4791914537,76809.4791914537,77150.8118767078,77333.6323791154,79388.9414024547,74612.7754301007,86146.1624741659,98024.4686275896,99618.7802610922,113545.664814484,26931.5333291424,100357.427941638,100440.23065559,43817.1666810126,82900.9818989347,62805.7384338984,63702.4550195082,1406.75650540758,58299.0162643966,58219.3348086091,76809.4791914537,85180.6099979602,101504.42272675,75067.1786879707,118460.036639908
"ws-HW6",119191.221019867,112556.557757354,107111.644423013,102277.032871104,92387.750198244,86877.3468541252,74367.298242961,71877.927250313,63854.0642607451,54171.373446663,48724.4322320646,26241.8100857312,22328.6139576788,61864.3672842721,69064.3410172428,40934.8397090722,79053.3485895443,77705.0132562735,48524.4942848249,54271.3424202829,26624.5441279613,88367.0037031562,41017.6424230242,30328.1686276851,2682.04484290545,2040.80523679177,1606.69445264796,18656.3666151569,19739.103139486,19766.4644508524,20617.9835004114,21410.9105259087,24024.0596986462,24372.4612215398,25020.8428875471,43317.9185556761,44566.2605079098,3723.16034349793,25124.7056699132,43292.9890859345,965.45484653494,0,25676.2445763584,119846.451856754,41535.228364083,42349.1666431587,44186.6282723209,20890.6023321575,21390.5692373461,22166.3055957577,23000.6339782309,23849.002406313,23469.3701707247,23979.507720194,24006.8690315611,24417.0131999926,43523.4877808531,21714.76007035,43378.9424213626,88696.0098179429,110246.602020092,64457.601059286,71681.9075192374,25369.2444104408,43050.8821870308,54295.4116215596,116843.014547105,71478.3198374296,69526.3550318394,1289.6700869562,71697.4105435988,79201.5023026083,63022.1970832081,88024.8550217488,77540.6635714132,77540.6635714132,77881.9962566673,78064.8167590748,80120.1257824141,75343.9598100602,86877.3468541253,97955.7059592472,99550.0175927498,113476.902146142,26862.7706608,100288.665273296,100371.467987248,43748.4040126702,82832.2192305923,62736.975765556,63633.6923511658,2040.80523679177,58230.2535960542,58950.5191885685,77540.6635714132,85911.7943779196,102235.60710671,75798.3630679302,119191.221019867
"ws-11",142300.581463712,135665.918201199,130221.004866858,125386.393314949,115497.110642089,109986.70729797,97476.6586868061,94987.287694158,86963.4247045901,77280.7338905079,71833.7926759095,49351.170529576,45437.9744015236,84973.727728117,92173.7014610879,64044.2001529169,102162.709033389,100814.373700118,71633.8547286697,77380.7028641277,49733.904571806,111476.364147001,64127.0028668689,53437.5290715298,24799.796057057,24948.2108178758,25596.5924838826,10497.5919471879,9931.86655062614,8866.44273047134,7810.94548041996,6896.84296838221,2589.26674401434,1948.02713790131,1182.51023860618,17641.673979318,18890.0159315516,24899.7894380947,1048.35519015824,17616.7445095762,25745.0072447008,25676.2445763584,0,142955.812300599,15858.9837877248,16672.9220668005,18510.3836959627,8752.09200739258,8544.96318542336,7872.22438501918,7058.09084660137,7409.35010195757,5926.9329424918,4895.74401200135,3830.3201918472,2840.55702575068,17847.2432044948,44824.1205141948,17702.6978450044,63433.7788113442,84984.3710134932,87566.9615031312,94791.2679630824,541.270632493161,17623.0457525286,29033.1806149612,91580.7835405064,94587.6802812746,43850.1104554813,25962.184673862,46021.1659672408,53939.2712960097,37759.9660766098,62762.6240151502,100650.024015258,100650.024015258,100991.356700512,101174.17720292,103229.486226259,98453.3202539051,109986.70729797,72693.4749526485,74287.7865861511,88214.6711395433,2240.7431840315,74612.4206969373,74695.2234108892,18072.159436312,57155.9746542339,37474.7447589577,38371.4613445675,24748.2240558004,32968.0225894559,82059.8796324136,100650.024015258,109021.154821765,125344.967550555,98907.7235117751,142300.581463712
"s-1",3313.62636051151,7289.89409940001,12734.8074337411,17569.4189856502,27458.7016585098,32969.1050026285,45479.1536137925,47968.5246064405,55992.3875960083,65675.0784100904,71122.0196246888,93604.6417710225,97517.837899075,57982.0845724813,50782.1108395106,79370.1044736404,40793.1032672092,42141.4386004801,71321.9575719285,65575.1094364705,93421.8456760322,31479.4481535976,78887.3770503733,90308.2304850139,118570.029813302,118918.431336196,118766.865953901,135935.934339398,137018.670863727,137046.032175093,137897.551224652,138690.478250149,141303.627422887,141652.02894578,142300.410611788,160597.486279917,161845.828232151,118056.022862504,142404.273394154,160572.556810175,119115.267476795,119846.451856754,142955.812300599,0,158814.796088324,159628.7343674,161466.195996562,138170.170056398,138670.136961587,139445.873319998,140280.201702472,141128.570130554,140748.937894965,141259.075444435,141286.436755802,141696.580924233,160803.055505094,100955.692737932,160658.510145604,205975.577542184,227526.169744333,70568.3552083148,77792.6616682662,142648.812134681,160330.449911272,171574.979345801,234122.582271347,55419.6909914781,186805.922756081,118732.48461973,188976.97826784,196481.07002685,180301.764807449,205304.42274599,83651.4177204421,83651.4177204421,83992.7504056962,84175.5709081037,86230.879931443,81454.713959089,32969.1050026285,215235.273683489,216829.585316991,230756.469870384,144142.338385041,217568.232997537,217651.035711489,161027.971736911,200111.786954834,180016.543489797,180913.260075407,119118.418098272,175509.821320296,60895.9326681846,83651.4177204421,33934.6574788342,17669.4123666879,44048.0887888233,3313.62636051151
